Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE GAZANIA,"1,477,000",635.08,"2,326",03 Jan 2023,5 HOW SUN DRIVE #04-08,New Sale,Strata,59,"25,034",-,Condominium,1,Freehold,2022,Private,538527,19,53,North East Region,Serangoon
A TREASURE TROVE,"1,060,000",775.01,"1,368",03 Jan 2023,76 PUNGGOL WALK #06-54,Resale,Strata,72,"14,722",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828788,19,82,North East Region,Punggol
RIVERFRONT RESIDENCES,"1,500,000","1,065.64","1,408",03 Jan 2023,49 HOUGANG AVENUE 7 #02-47,Sub Sale,Strata,99,"15,152",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533817,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,040,000",850.36,"1,223",03 Jan 2023,78 UPPER SERANGOON VIEW #03-64,Resale,Strata,79,"13,165",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533879,19,53,North East Region,Hougang
HOUGANG GREEN,"900,000","1,162.51",774,03 Jan 2023,5 BUANGKOK GREEN #02-05,Resale,Strata,108,"8,333",-,Apartment,1,99 yrs from 01/12/1994,1998,Private,539748,19,53,North East Region,Hougang
REGENTVILLE,"1,128,000","1,151.75",979,03 Jan 2023,8 HOUGANG STREET 92 #04-08,Resale,Strata,107,"10,542",-,Apartment,1,99 yrs from 24/04/1996,1999,HDB,538686,19,53,North East Region,Hougang
THE SPRINGBLOOM,"1,757,500","1,302.44","1,349",04 Jan 2023,143 SERANGOON AVENUE 3 #14-02,Resale,Strata,121,"14,525",-,Condominium,1,99 yrs from 01/03/1995,1999,Private,556121,19,55,North East Region,Serangoon
RIVER ISLES,"925,888",753.48,"1,229",04 Jan 2023,52 EDGEDALE PLAINS #05-04,Resale,Strata,70,"13,227",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828820,19,82,North East Region,Punggol
BARTLEY VUE,"2,508,000","1,356.26","1,849",05 Jan 2023,6 JALAN BUNGA RAMPAI #10-02,New Sale,Strata,126,"19,905",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,Private,538310,19,53,Central Region,Toa Payoh
GAMBIR RIDGE,"1,190,000",753.48,"1,579",05 Jan 2023,18 GAMBIR WALK #04-10,Resale,Strata,70,"17,000",-,Apartment,1,Freehold,2015,HDB,538982,19,53,North East Region,Serangoon
THE GAZANIA,"1,553,000",699.66,"2,220",06 Jan 2023,9 HOW SUN DRIVE #04-13,New Sale,Strata,65,"23,892",-,Condominium,1,Freehold,2022,Private,538533,19,53,North East Region,Serangoon
THE MINTON,"1,510,000","1,087.16","1,389",06 Jan 2023,12A HOUGANG STREET 11 #12-57,Resale,Strata,101,"14,950",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534074,19,53,North East Region,Hougang
PARC VERA,"1,030,000",871.88,"1,181",06 Jan 2023,10 HOUGANG STREET 32 #05-20,Resale,Strata,81,"12,716",-,Condominium,1,99 yrs from 20/12/2010,2014,Private,534037,19,53,North East Region,Hougang
RESIDENCES @ JANSEN,"1,500,000","1,216.33","1,233",06 Jan 2023,29 JANSEN ROAD #03-04,Resale,Strata,113,"13,274",-,Apartment,1,999 yrs from 01/09/1876,2008,HDB,548432,19,54,North East Region,Hougang
RIVER ISLES,"1,250,000","1,065.64","1,173",06 Jan 2023,56 EDGEDALE PLAINS #04-09,Resale,Strata,99,"12,626",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828822,19,82,North East Region,Punggol
WATERTOWN,"900,000",559.73,"1,608",06 Jan 2023,69 PUNGGOL CENTRAL #08-17,Resale,Strata,52,"17,308",-,Apartment,1,99 yrs from 18/05/2011,2017,HDB,828754,19,82,North East Region,Punggol
THE LUXURIE,"990,000",731.95,"1,353",09 Jan 2023,17 COMPASSVALE ROAD #03-13,Resale,Strata,68,"14,559",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544752,19,54,North East Region,Sengkang
RIVERFRONT RESIDENCES,"1,400,000",871.88,"1,606",09 Jan 2023,41 HOUGANG AVENUE 7 #15-06,Sub Sale,Strata,81,"17,284",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533813,19,53,North East Region,Hougang
WATERTOWN,"1,228,000",807.3,"1,521",09 Jan 2023,71 PUNGGOL CENTRAL #07-54,Resale,Strata,75,"16,373",-,Apartment,1,99 yrs from 18/05/2011,2017,Private,828755,19,82,North East Region,Punggol
FLO RESIDENCE,"1,566,000","1,345.5","1,164",09 Jan 2023,1 PUNGGOL FIELD WALK #06-02,Resale,Strata,125,"12,528",-,Condominium,1,99 yrs from 05/12/2011,2016,Private,828739,19,82,North East Region,Punggol
BLISS@KOVAN,"1,460,000",914.94,"1,596",09 Jan 2023,6A SIMON LANE #01-20,Resale,Strata,85,"17,176",-,Condominium,1,Freehold,2015,HDB,546056,19,54,North East Region,Hougang
D'PAVILION,"2,470,000","1,926.76","1,282",09 Jan 2023,801 UPPER SERANGOON ROAD #05-01,Resale,Strata,179,"13,799",-,Apartment,1,Freehold,2010,Private,534671,19,53,North East Region,Hougang
THE GAZANIA,"1,492,000",635.08,"2,349",09 Jan 2023,19 HOW SUN DRIVE #04-43,New Sale,Strata,59,"25,288",-,Condominium,1,Freehold,2022,HDB,538555,19,53,North East Region,Serangoon
THE LUXURIE,"1,185,000",882.65,"1,343",09 Jan 2023,11 COMPASSVALE ROAD #07-06,Resale,Strata,82,"14,451",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544749,19,54,North East Region,Sengkang
FONTAINE PARRY,"1,200,000",914.94,"1,312",10 Jan 2023,75 POH HUAT ROAD #04-13,Resale,Strata,85,"14,118",-,Condominium,1,999 yrs from 16/08/1877,2010,Private,546782,19,54,North East Region,Hougang
RIO VISTA,"1,400,000","1,248.62","1,121",10 Jan 2023,16 UPPER SERANGOON VIEW #13-09,Resale,Strata,116,"12,069",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534201,19,53,North East Region,Hougang
LA FIESTA,"1,240,000",893.41,"1,388",11 Jan 2023,52 SENGKANG SQUARE #03-05,Resale,Strata,83,"14,940",-,Condominium,1,99 yrs from 03/09/2012,2016,HDB,544831,19,54,North East Region,Sengkang
RIVER ISLES,"1,228,000","1,076.4","1,141",12 Jan 2023,60 EDGEDALE PLAINS #02-20,Resale,Strata,100,"12,280",-,Condominium,1,99 yrs from 06/02/2012,2015,Private,828729,19,82,North East Region,Punggol
THE FLORENCE RESIDENCES,"1,650,000",925.7,"1,782",12 Jan 2023,95 HOUGANG AVENUE 2 #14-66,Sub Sale,Strata,86,"19,186",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,533754,19,53,North East Region,Hougang
CENTRAL VIEW,"1,288,000","1,216.33","1,059",12 Jan 2023,50 HOUGANG STREET 11 #12-04,Resale,Strata,113,"11,398",-,Condominium,1,99 yrs from 20/03/1998,2002,Private,538749,19,53,North East Region,Hougang
MIDTOWN RESIDENCES,"945,000",645.84,"1,463",12 Jan 2023,1189 UPPER SERANGOON ROAD #06-01,Resale,Strata,60,"15,750",-,Apartment,1,99 yrs from 24/01/2013,2016,HDB,534785,19,53,North East Region,Hougang
KOVAN MELODY,"1,750,000","1,313.21","1,333",12 Jan 2023,33 KOVAN ROAD #17-39,Resale,Strata,122,"14,344",-,Condominium,1,99 yrs from 20/01/2004,2006,HDB,545020,19,54,North East Region,Hougang
THE GAZANIA,"1,507,000",635.08,"2,373",13 Jan 2023,19 HOW SUN DRIVE #03-48,New Sale,Strata,59,"25,542",-,Condominium,1,Freehold,2022,N.A,538555,19,53,North East Region,Serangoon
THE LILIUM,"1,564,300",699.66,"2,236",13 Jan 2023,31 HOW SUN ROAD #03-04,New Sale,Strata,65,"24,066",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
KOVAN MELODY,"1,630,000","1,227.1","1,328",13 Jan 2023,19 KOVAN ROAD #03-12,Resale,Strata,114,"14,298",-,Condominium,1,99 yrs from 20/01/2004,2006,Private,548191,19,54,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,670,000","1,108.69","1,506",13 Jan 2023,55 HOUGANG AVENUE 7 #02-73,Sub Sale,Strata,103,"16,214",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533820,19,53,North East Region,Hougang
THE GAZANIA,"1,564,000",678.13,"2,306",15 Jan 2023,11 HOW SUN DRIVE #02-24,New Sale,Strata,63,"24,825",-,Condominium,1,Freehold,2022,Private,538536,19,53,North East Region,Serangoon
RIO VISTA,"1,270,000","1,248.62","1,017",16 Jan 2023,10 UPPER SERANGOON VIEW #09-01,Resale,Strata,116,"10,948",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534198,19,53,North East Region,Hougang
THE GAZANIA,"3,439,000","1,840.64","1,868",16 Jan 2023,15 HOW SUN DRIVE #01-30,New Sale,Strata,171,"20,111",-,Condominium,1,Freehold,2022,Private,538545,19,53,North East Region,Serangoon
LA FIESTA,"1,523,888","1,001.05","1,522",16 Jan 2023,66 SENGKANG SQUARE #14-37,Resale,Strata,93,"16,386",-,Condominium,1,99 yrs from 03/09/2012,2016,HDB,544703,19,54,North East Region,Sengkang
THE PROMENADE@PELIKAT,"685,000",484.38,"1,414",16 Jan 2023,183 JALAN PELIKAT #02-11,Resale,Strata,45,"15,222",-,Apartment,1,Freehold,2015,Private,537643,19,53,North East Region,Hougang
JADE RESIDENCES,"1,235,000","1,044.11","1,183",17 Jan 2023,9 LEW LIAN VALE #05-34,Resale,Strata,97,"12,732",-,Apartment,1,Freehold,2017,HDB,537020,19,53,North East Region,Serangoon
KOVAN JEWEL,"2,288,000","1,076.4","2,126",17 Jan 2023,51 KOVAN ROAD #02-07,New Sale,Strata,100,"22,880",-,Apartment,1,Freehold,Uncompleted,HDB,548534,19,54,North East Region,Hougang
JEWEL @ BUANGKOK,"728,000",462.85,"1,573",17 Jan 2023,87 COMPASSVALE BOW #06-25,Resale,Strata,43,"16,930",-,Condominium,1,99 yrs from 12/09/2012,2016,HDB,544686,19,54,North East Region,Sengkang
THE LUXURIE,"1,400,000","1,001.05","1,399",17 Jan 2023,29 COMPASSVALE ROAD #04-35,Resale,Strata,93,"15,054",-,Condominium,1,99 yrs from 15/06/2011,2015,Private,544758,19,54,North East Region,Sengkang
FONTAINE PARRY,"1,208,888",850.36,"1,422",17 Jan 2023,73 POH HUAT ROAD #04-10,Resale,Strata,79,"15,302",-,Condominium,1,999 yrs from 16/08/1877,2010,Private,546779,19,54,North East Region,Hougang
REGENTVILLE,"1,070,000","1,076.4",994,17 Jan 2023,6 HOUGANG STREET 92 #06-02,Resale,Strata,100,"10,700",-,Apartment,1,99 yrs from 24/04/1996,1999,HDB,538685,19,53,North East Region,Hougang
THE GAZANIA,"1,547,000",699.66,"2,211",18 Jan 2023,9 HOW SUN DRIVE #03-13,New Sale,Strata,65,"23,800",-,Condominium,1,Freehold,2022,HDB,538533,19,53,North East Region,Serangoon
THE LILIUM,"1,688,800",742.72,"2,274",18 Jan 2023,33 HOW SUN ROAD #04-12,New Sale,Strata,69,"24,475",-,Condominium,1,Freehold,2021,Private,538501,19,53,North East Region,Serangoon
CHILTERN PARK,"1,640,000","1,248.62","1,313",18 Jan 2023,133 SERANGOON AVENUE 3 #10-14,Resale,Strata,116,"14,138",-,Condominium,1,99 yrs from 01/03/1991,1995,HDB,556113,19,55,North East Region,Serangoon
TRILIVE,"1,958,000","1,162.51","1,684",18 Jan 2023,111 TAMPINES ROAD #13-02,Resale,Strata,108,"18,130",-,Condominium,1,Freehold,2018,Private,535133,19,53,North East Region,Hougang
MONDO MANSION BUILDING,"6,280,000","5,489.64","1,144",18 Jan 2023,"543,543A,545,545A UPPER SERANGOON ROAD",Resale,Strata,510,"12,314",-,Apartment,4,Freehold,1976,Private,534553,19,53,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,670,000",925.7,"1,804",18 Jan 2023,95 HOUGANG AVENUE 2 #10-66,Sub Sale,Strata,86,"19,419",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,533754,19,53,North East Region,Hougang
THE GAZANIA,"1,541,000",699.66,"2,202",19 Jan 2023,9 HOW SUN DRIVE #02-13,New Sale,Strata,65,"23,708",-,Condominium,1,Freehold,2022,HDB,538533,19,53,North East Region,Serangoon
BARTLEY RESIDENCES,"798,000",462.85,"1,724",19 Jan 2023,5 LORONG HOW SUN #12-25,Resale,Strata,43,"18,558",-,Apartment,1,99 yrs from 29/06/2011,2015,HDB,536562,19,53,North East Region,Serangoon
TERRASSE,"1,343,888","1,054.87","1,274",19 Jan 2023,27 TERRASSE LANE #04-32,Resale,Strata,98,"13,713",-,Condominium,1,99 yrs from 23/08/2010,2014,HDB,544777,19,54,North East Region,Hougang
BOTANIQUE AT BARTLEY,"1,320,000",731.95,"1,803",19 Jan 2023,237 UPPER PAYA LEBAR ROAD #09-47,Resale,Strata,68,"19,412",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533867,19,53,North East Region,Serangoon
KINGSFORD WATERBAY,"918,000",678.13,"1,354",19 Jan 2023,78 UPPER SERANGOON VIEW #05-67,Resale,Strata,63,"14,571",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533879,19,53,North East Region,Hougang
A TREASURE TROVE,"1,250,000",914.94,"1,366",19 Jan 2023,54 PUNGGOL WALK #10-11,Resale,Strata,85,"14,706",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828832,19,82,North East Region,Punggol
A TREASURE TROVE,"1,100,000",775.01,"1,419",20 Jan 2023,76 PUNGGOL WALK #04-54,Resale,Strata,72,"15,278",-,Condominium,1,99 yrs from 09/03/2011,2015,Private,828788,19,82,North East Region,Punggol
THE QUARTZ,"1,730,000","1,345.5","1,286",25 Jan 2023,57 COMPASSVALE BOW #19-14,Resale,Strata,125,"13,840",-,Condominium,1,99 yrs from 18/04/2005,2009,Private,544987,19,54,North East Region,Sengkang
RIVERSAILS,"1,220,000","1,044.11","1,168",26 Jan 2023,14 UPPER SERANGOON CRESCENT #02-38,Resale,Strata,97,"12,577",-,Condominium,1,99 yrs from 07/12/2011,2016,Private,534029,19,53,North East Region,Hougang
THE MINTON,"1,800,000","1,216.33","1,480",27 Jan 2023,14 HOUGANG STREET 11 #10-71,Resale,Strata,113,"15,929",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534071,19,53,North East Region,Hougang
THE GAZANIA,"1,538,000",656.6,"2,342",29 Jan 2023,11 HOW SUN DRIVE #01-25,New Sale,Strata,61,"25,213",-,Condominium,1,Freehold,2022,N.A,538536,19,53,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,680,000","1,011.82","1,660",30 Jan 2023,89 HOUGANG AVENUE 2 #06-38,Sub Sale,Strata,94,"17,872",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538863,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"803,000",516.67,"1,554",30 Jan 2023,45 HOUGANG AVENUE 7 #01-30,Sub Sale,Strata,48,"16,729",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533815,19,53,North East Region,Hougang
COMPASS HEIGHTS,"1,400,000","1,506.96",929,30 Jan 2023,11 SENGKANG SQUARE #03-33,Resale,Strata,140,"10,000",-,Apartment,1,99 yrs from 30/04/2000,2002,HDB,545076,19,54,North East Region,Sengkang
KOVAN REGENCY,"1,675,000",979.52,"1,710",30 Jan 2023,6 KOVAN RISE #11-15,Resale,Strata,91,"18,407",-,Condominium,1,99 yrs from 24/04/2012,2015,HDB,544736,19,54,North East Region,Hougang
KOVAN RESIDENCES,"1,930,000","1,259.39","1,532",31 Jan 2023,1 KOVAN ROAD #15-03,Resale,Strata,117,"16,496",-,Condominium,1,99 yrs from 31/12/2007,2011,Private,544915,19,54,North East Region,Hougang
BOTANIQUE AT BARTLEY,"808,000",495.14,"1,632",01 Feb 2023,231 UPPER PAYA LEBAR ROAD #01-30,Resale,Strata,46,"17,565",-,Condominium,1,99 yrs from 14/04/2014,2019,Private,533870,19,53,North East Region,Serangoon
RIVERFRONT RESIDENCES,"1,705,000","1,108.69","1,538",01 Feb 2023,45 HOUGANG AVENUE 7 #12-32,Sub Sale,Strata,103,"16,553",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533815,19,53,North East Region,Hougang
KOVAN JEWEL,"2,338,800","1,076.4","2,173",01 Feb 2023,51 KOVAN ROAD #03-07,New Sale,Strata,100,"23,388",-,Apartment,1,Freehold,Uncompleted,Private,548534,19,54,North East Region,Hougang
STARS OF KOVAN,"915,000",505.91,"1,809",01 Feb 2023,982 UPPER SERANGOON ROAD #15-14,Resale,Strata,47,"19,468",-,Apartment,1,99 yrs from 25/02/2015,2019,Private,533855,19,53,North East Region,Hougang
BARTLEY RESIDENCES,"760,000",462.85,"1,642",01 Feb 2023,7 LORONG HOW SUN #16-39,Resale,Strata,43,"17,674",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536564,19,53,North East Region,Serangoon
FLO RESIDENCE,"1,252,000","1,011.82","1,237",02 Feb 2023,7 PUNGGOL FIELD WALK #09-18,Resale,Strata,94,"13,319",-,Condominium,1,99 yrs from 05/12/2011,2016,Private,828742,19,82,North East Region,Punggol
BOTANIQUE AT BARTLEY,"900,888",495.14,"1,819",02 Feb 2023,237 UPPER PAYA LEBAR ROAD #12-42,Resale,Strata,46,"19,585",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533867,19,53,North East Region,Serangoon
THE MINTON,"1,658,888","1,496.2","1,109",02 Feb 2023,12A HOUGANG STREET 11 #01-58,Resale,Strata,139,"11,934",-,Condominium,1,99 yrs from 27/07/2007,2013,HDB,534074,19,53,North East Region,Hougang
KOVANA,"2,733,000","2,734.06","1,000",02 Feb 2023,53 KOVAN ROAD #06-04,Resale,Strata,254,"10,760",-,Apartment,1,Freehold,2007,Private,548136,19,54,North East Region,Hougang
FOREST WOODS,"1,850,000","1,001.05","1,848",02 Feb 2023,15 LORONG LEW LIAN #02-29,Resale,Strata,93,"19,892",-,Condominium,1,99 yrs from 05/02/2016,2020,Private,533853,19,53,North East Region,Serangoon
REGENTVILLE,"1,138,000","1,076.4","1,057",02 Feb 2023,10 HOUGANG STREET 92 #08-02,Resale,Strata,100,"11,380",-,Apartment,1,99 yrs from 24/04/1996,1999,HDB,538687,19,53,North East Region,Hougang
THE QUARTZ,"1,480,000","1,140.98","1,297",03 Feb 2023,57 COMPASSVALE BOW #05-15,Resale,Strata,106,"13,962",-,Condominium,1,99 yrs from 18/04/2005,2009,HDB,544987,19,54,North East Region,Sengkang
RIVER ISLES,"1,159,000",893.41,"1,297",03 Feb 2023,62 EDGEDALE PLAINS #14-21,Resale,Strata,83,"13,964",-,Condominium,1,99 yrs from 06/02/2012,2015,Private,828730,19,82,North East Region,Punggol
KOVAN RESIDENCES,"2,200,000","1,442.38","1,525",03 Feb 2023,5A KOVAN ROAD #15-24,Resale,Strata,134,"16,418",-,Condominium,1,99 yrs from 31/12/2007,2011,Private,544895,19,54,North East Region,Hougang
BOTANIQUE AT BARTLEY,"1,700,000",958,"1,775",03 Feb 2023,223 UPPER PAYA LEBAR ROAD #02-05,Resale,Strata,89,"19,101",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533874,19,53,North East Region,Serangoon
RIVERSOUND RESIDENCE,"1,118,000",904.18,"1,236",03 Feb 2023,5 SENGKANG EAST AVENUE #09-13,Resale,Strata,84,"13,310",-,Condominium,1,99 yrs from 26/08/2011,2015,Private,544740,19,54,North East Region,Sengkang
THE LUXURIE,"1,165,000","1,001.05","1,164",03 Feb 2023,27 COMPASSVALE ROAD #01-33,Resale,Strata,93,"12,527",-,Condominium,1,99 yrs from 15/06/2011,2015,HDB,544757,19,54,North East Region,Sengkang
BARTLEY RESIDENCES,"768,000",462.85,"1,659",06 Feb 2023,7A LORONG HOW SUN #10-49,Resale,Strata,43,"17,860",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536565,19,53,North East Region,Serangoon
KOVAN RESIDENCES,"2,338,888","1,442.38","1,622",06 Feb 2023,5 KOVAN ROAD #14-18,Resale,Strata,134,"17,454",-,Condominium,1,99 yrs from 31/12/2007,2011,Private,544894,19,54,North East Region,Hougang
RIVERFRONT RESIDENCES,"1,180,000",721.19,"1,636",06 Feb 2023,57 HOUGANG AVENUE 7 #11-81,Sub Sale,Strata,67,"17,612",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,Private,533821,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"938,000",710.42,"1,320",07 Feb 2023,64 UPPER SERANGOON VIEW #05-08,Resale,Strata,66,"14,212",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533886,19,53,North East Region,Hougang
BARTLEY RESIDENCES,"1,700,000","1,097.93","1,548",07 Feb 2023,5 LORONG HOW SUN #05-26,Resale,Strata,102,"16,667",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536562,19,53,North East Region,Serangoon
THE LUXURIE,"1,466,000","1,001.05","1,464",08 Feb 2023,19 COMPASSVALE ROAD #04-15,Resale,Strata,93,"15,763",-,Condominium,1,99 yrs from 15/06/2011,2015,HDB,544753,19,54,North East Region,Sengkang
THE GAZANIA,"1,612,000",699.66,"2,304",09 Feb 2023,9 HOW SUN DRIVE #03-20,New Sale,Strata,65,"24,800",-,Condominium,1,Freehold,2022,HDB,538533,19,53,North East Region,Serangoon
THE LILIUM,"1,577,300",699.66,"2,254",09 Feb 2023,31 HOW SUN ROAD #05-04,New Sale,Strata,65,"24,266",-,Condominium,1,Freehold,2021,Private,538500,19,53,North East Region,Serangoon
BOTANIQUE AT BARTLEY,"1,900,000","1,065.64","1,783",09 Feb 2023,221 UPPER PAYA LEBAR ROAD #07-01,Resale,Strata,99,"19,192",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533875,19,53,North East Region,Serangoon
FONTAINE PARRY,"1,250,000",850.36,"1,470",09 Feb 2023,73 POH HUAT ROAD #02-10,Resale,Strata,79,"15,823",-,Condominium,1,999 yrs from 16/08/1877,2010,Private,546779,19,54,North East Region,Hougang
BOATHOUSE RESIDENCES,"1,168,888",914.94,"1,278",09 Feb 2023,23 UPPER SERANGOON VIEW #06-02,Resale,Strata,85,"13,752",-,Condominium,1,99 yrs from 09/02/2011,2015,HDB,534047,19,53,North East Region,Hougang
BOTANIQUE AT BARTLEY,"1,280,000",721.19,"1,775",09 Feb 2023,235 UPPER PAYA LEBAR ROAD #14-40,Resale,Strata,67,"19,104",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533868,19,53,North East Region,Serangoon
THE GAZANIA,"1,624,000",678.13,"2,395",10 Feb 2023,9 HOW SUN DRIVE #02-16,New Sale,Strata,63,"25,778",-,Condominium,1,Freehold,2022,Private,538533,19,53,North East Region,Serangoon
THE GAZANIA,"1,539,000",656.6,"2,344",10 Feb 2023,9 HOW SUN DRIVE #02-17,New Sale,Strata,61,"25,230",-,Condominium,1,Freehold,2022,Private,538533,19,53,North East Region,Serangoon
THE GAZANIA,"1,606,000",699.66,"2,295",10 Feb 2023,9 HOW SUN DRIVE #02-20,New Sale,Strata,65,"24,708",-,Condominium,1,Freehold,2022,Private,538533,19,53,North East Region,Serangoon
BARTLEY VUE,"1,698,000",861.12,"1,972",10 Feb 2023,6 JALAN BUNGA RAMPAI #16-03,New Sale,Strata,80,"21,225",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,Private,538310,19,53,Central Region,Toa Payoh
FOREST WOODS,"1,828,000",979.52,"1,866",10 Feb 2023,9A LORONG LEW LIAN #09-11,Resale,Strata,91,"20,088",-,Condominium,1,99 yrs from 05/02/2016,2020,HDB,536495,19,53,North East Region,Serangoon
CHILTERN PARK,"1,680,000","1,248.62","1,345",10 Feb 2023,135 SERANGOON AVENUE 3 #07-14,Resale,Strata,116,"14,483",-,Condominium,1,99 yrs from 01/03/1991,1995,Private,556114,19,55,North East Region,Serangoon
RIVERSAILS,"1,000,000",871.88,"1,147",10 Feb 2023,16 UPPER SERANGOON CRESCENT #16-42,Resale,Strata,81,"12,346",-,Condominium,1,99 yrs from 07/12/2011,2016,HDB,534028,19,53,North East Region,Hougang
SPAZIO @ KOVAN,"1,030,000",764.24,"1,348",10 Feb 2023,767 UPPER SERANGOON ROAD #04-16,Resale,Strata,71,"14,507",-,Apartment,1,Freehold,2016,HDB,534635,19,53,North East Region,Hougang
CASA CAMBIO,"1,100,000",958,"1,148",10 Feb 2023,11 LIM TUA TOW ROAD #01-31,Resale,Strata,89,"12,360",-,Condominium,1,Freehold,2014,HDB,547803,19,54,North East Region,Serangoon
THE FLORENCE RESIDENCES,"1,140,000",645.84,"1,765",10 Feb 2023,93 HOUGANG AVENUE 2 #12-54,Sub Sale,Strata,60,"19,000",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,538865,19,53,North East Region,Hougang
THE GAZANIA,"1,519,000",635.08,"2,392",11 Feb 2023,19 HOW SUN DRIVE #05-48,New Sale,Strata,59,"25,746",-,Condominium,1,Freehold,2022,Private,538555,19,53,North East Region,Serangoon
THE LILIUM,"1,613,800",742.72,"2,173",12 Feb 2023,33 HOW SUN ROAD #05-12,New Sale,Strata,69,"23,388",-,Condominium,1,Freehold,2021,HDB,538501,19,53,North East Region,Serangoon
KENSINGTON SQUARE,"918,000",613.55,"1,496",13 Feb 2023,2 JALAN LOKAM #02-04,Resale,Strata,57,"16,105",-,Apartment,1,Freehold,2016,Private,537846,19,53,North East Region,Hougang
BOTANIQUE AT BARTLEY,"1,688,000",958,"1,762",13 Feb 2023,227 UPPER PAYA LEBAR ROAD #13-13,Resale,Strata,89,"18,966",-,Condominium,1,99 yrs from 14/04/2014,2019,HDB,533872,19,53,North East Region,Serangoon
SUNGLADE,"1,400,000","1,044.11","1,341",13 Feb 2023,11 SERANGOON AVENUE 2 #09-31,Resale,Strata,97,"14,433",-,Condominium,1,99 yrs from 09/10/2000,2003,HDB,556135,19,55,North East Region,Serangoon
RIO VISTA,"1,375,000","1,248.62","1,101",13 Feb 2023,12 UPPER SERANGOON VIEW #14-07,Resale,Strata,116,"11,853",-,Condominium,1,99 yrs from 02/01/2001,2004,Private,534199,19,53,North East Region,Hougang
RIVERSOUND RESIDENCE,"675,000",473.62,"1,425",13 Feb 2023,7 SENGKANG EAST AVENUE #06-19,Resale,Strata,44,"15,341",-,Condominium,1,99 yrs from 26/08/2011,2015,HDB,544741,19,54,North East Region,Sengkang
KINGSFORD WATERBAY,"950,000",710.42,"1,337",13 Feb 2023,64 UPPER SERANGOON VIEW #08-08,Resale,Strata,66,"14,394",-,Apartment,1,99 yrs from 03/03/2014,2018,HDB,533886,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"895,000",602.78,"1,485",13 Feb 2023,45 HOUGANG AVENUE 7 #03-27,Sub Sale,Strata,56,"15,982",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533815,19,53,North East Region,Hougang
RIVERSAILS,"1,200,000",947.23,"1,267",14 Feb 2023,20 UPPER SERANGOON CRESCENT #16-48,Resale,Strata,88,"13,636",-,Condominium,1,99 yrs from 07/12/2011,2016,Private,534026,19,53,North East Region,Hougang
SPACE @ KOVAN,"845,000",602.78,"1,402",14 Feb 2023,11 YIO CHU KANG ROAD #02-29,Resale,Strata,56,"15,089",-,Apartment,1,Freehold,2015,Private,545679,19,54,North East Region,Serangoon
