MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2000 to Oct 2025


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2005,Jul,01,1.7998,-
,,04,1.7480,-
,,05,1.7686,-
,,06,1.7971,-
,,07,1.7956,-
,,08,1.7851,-
,,11,1.7279,-
,,12,1.7292,-
,,13,1.6997,-
,,14,1.7127,-
,,15,1.7286,-
,,18,1.7137,-
,,19,1.7475,-
,,20,1.7688,-
,,21,1.8009,-
,,22,1.7898,-
,,25,1.7729,-
,,26,1.7572,-
,,27,1.7766,-
,,28,1.7625,-
,,29,1.7712,-
,Aug,01,1.7573,-
,,02,1.7507,-
,,03,1.7437,-
,,04,1.7704,-
,,05,1.7661,-
,,08,1.7582,-
,,10,1.7763,-
,,11,1.7090,-
,,12,1.7359,-
,,15,1.7371,-
,,16,1.7355,-
,,17,1.6767,-
,,18,1.7014,-
,,19,1.7516,-
,,22,1.7840,-
,,23,1.9117,-
,,24,1.9255,-
,,25,1.7456,-
,,26,1.7625,-
,,29,1.8225,-
,,30,1.9267,-
,,31,1.9718,-
,Sep,01,1.9549,-
,,02,1.9437,-
,,05,1.9482,-
,,06,2.0231,-
,,07,2.0769,-
,,08,1.9136,-
,,09,1.9426,-
,,12,2.0026,-
,,13,2.1005,-
,,14,2.0975,-
,,15,2.1996,-
,,16,2.2045,-
,,19,2.1220,-
,,20,2.1736,-
,,21,2.2383,-
,,22,2.2811,-
,,23,2.3463,-
,,26,2.2888,-
,,27,2.2905,-
,,28,2.2450,-
,,29,2.2457,-
,,30,2.2293,-
,Oct,03,2.1127,-
,,04,2.0804,-
,,05,2.0212,-
,,06,2.0748,-
,,07,2.1100,-
,,10,2.1390,-
,,11,2.2210,-
,,12,2.2918,-
,,13,2.2508,-
,,14,2.1881,-
,,17,2.1717,-
,,18,2.1015,-
,,19,2.1170,-
,,20,2.1221,-
,,21,2.0980,-
,,24,2.1281,-
,,25,2.1729,-
,,26,2.2345,-
,,27,2.2803,-
,,28,2.3251,-
,,31,2.5551,-
,Nov,02,2.4839,-
,,04,2.5598,-
,,07,2.5800,-
,,08,2.5711,-
,,09,2.6267,-
,,10,2.6622,-
,,11,2.7717,-
,,14,2.7140,-
,,15,2.6832,-
,,16,2.5748,-
,,17,2.6140,-
,,18,2.6646,-
,,21,2.7549,-
,,22,2.7888,-
,,23,2.5405,-
,,24,2.9192,-
,,25,2.7307,-
,,28,2.7185,-
,,29,2.6608,-
,,30,2.8966,-
,Dec,01,2.9236,-
,,02,2.7600,-
,,05,2.6757,-
,,06,2.5835,-
,,07,2.4154,-
,,08,2.6131,-
,,09,2.7719,-
,,12,2.7201,-
,,13,2.5965,-
,,14,2.7990,-
,,15,3.4659,-
,,16,3.3999,-
,,19,3.2134,-
,,20,2.8669,-
,,21,2.6939,-
,,22,2.8299,-
,,23,2.8771,-
,,27,2.7700,-
,,28,2.9352,-
,,29,2.9036,-
,,30,3.7755,-


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2006,Jan,03,3.1885,-
,,04,3.5468,-
,,05,3.4750,-
,,06,3.0801,-
,,09,2.9060,-
,,11,3.0986,-
,,12,3.3281,-
,,13,3.3249,-
,,16,3.0105,-
,,17,3.1667,-
,,18,3.1131,-
,,19,3.2044,-
,,20,3.1510,-
,,23,3.1155,-
,,24,2.9098,-
,,25,2.8898,-
,,26,3.0182,-
,,27,3.6060,-
,Feb,01,3.4386,-
,,02,3.5541,-
,,03,3.5051,-
,,06,3.5395,-
,,07,3.4016,-
,,08,3.0374,-
,,09,2.6593,-
,,10,2.7431,-
,,13,2.5628,-
,,14,2.1267,-
,,15,1.2181,-
,,16,2.7975,-
,,17,3.1073,-
,,20,3.1117,-
,,21,3.2628,-
,,22,3.2529,-
,,23,3.2830,-
,,24,3.2046,-
,,27,3.2239,-
,,28,3.2955,-
,Mar,01,3.2346,-
,,02,3.2600,-
,,03,3.2514,-
,,06,3.2358,-
,,07,3.1483,-
,,08,3.1567,-
,,09,3.1998,-
,,10,3.2077,-
,,13,3.2641,-
,,14,3.2018,-
,,15,3.1904,-
,,16,3.2276,-
,,17,3.2299,-
,,20,3.1631,-
,,21,3.0864,-
,,22,3.1715,-
,,23,3.1645,-
,,24,3.2517,-
,,27,3.2352,-
,,28,3.2050,-
,,29,2.7648,-
,,30,2.9968,-
,,31,3.2054,-
,Apr,03,3.2243,-
,,04,3.1695,-
,,05,3.0961,-
,,06,2.9340,-
,,07,3.0613,-
,,10,3.0925,-
,,11,3.1143,-
,,12,3.1210,-
,,13,3.1027,-
,,17,3.0038,-
,,18,2.9481,-
,,19,2.9509,-
,,20,2.9546,-
,,21,2.9643,-
,,24,2.9774,-
,,25,3.0759,-
,,26,3.0957,-
,,27,3.2451,-
,,28,3.2377,-
,May,02,3.2041,-
,,03,3.0867,-
,,04,3.1049,-
,,05,3.1387,-
,,08,3.0107,-
,,09,2.9039,-
,,10,3.0011,-
,,11,3.0813,-
,,15,3.0294,-
,,16,3.0148,-
,,17,2.9865,-
,,18,2.9974,-
,,19,2.9630,-
,,22,2.8976,-
,,23,2.8401,-
,,24,2.8323,-
,,25,3.1337,-
,,26,3.1724,-
,,29,2.9495,-
,,30,2.9633,-
,,31,3.1525,-
,Jun,01,3.1935,3.73
,,02,3.2899,3.73
,,05,3.2419,3.82
,,06,3.1614,3.83
,,07,3.2109,3.81
,,08,3.1153,3.79
,,09,3.1023,3.68
,,12,3.0594,3.69
,,13,3.1152,3.66
,,14,3.1302,3.69
,,15,3.2822,3.87
,,16,3.3830,3.88
,,19,3.3519,3.83
,,20,3.3458,3.93
,,21,3.2789,3.86
,,22,3.2975,3.82
,,23,3.3143,3.89
,,26,3.2403,3.82
,,27,3.2816,3.84
,,28,3.3066,3.88
,,29,3.3862,3.95
,,30,3.3234,3.90
,Jul,03,3.2474,3.85
,,04,3.0500,3.74
,,05,3.1118,3.60
,,06,3.3374,3.85
,,07,3.3768,3.93
,,10,3.3699,3.88
,,11,3.3786,3.95
,,12,3.3687,3.98
,,13,3.3581,3.98
,,14,3.3360,3.95
,,17,3.0982,3.78
,,18,3.0282,3.64
,,19,3.0156,3.59
,,20,3.2316,3.76
,,21,3.2490,3.84
,,24,3.1825,3.77
,,25,3.2076,3.82
,,26,3.1646,3.86
,,27,3.1418,3.77
,,28,3.0030,3.72
,,31,2.9266,3.51
,Aug,01,3.0396,3.56
,,02,3.1282,3.72
,,03,3.2151,3.82
,,04,3.0228,3.75
,,07,2.9162,3.46
,,08,3.0645,3.57
,,10,3.2429,3.71
,,11,3.2133,3.81
,,14,3.2285,3.79
,,15,3.2362,3.79
,,16,3.2081,3.79
,,17,3.2452,3.81
,,18,3.2168,3.75
,,21,3.1990,3.75
,,22,3.2472,3.81
,,23,3.2853,3.82
,,24,3.3685,3.87
,,25,3.3723,3.94
,,28,3.3552,3.96
,,29,3.3550,3.92
,,30,3.2485,3.79
,,31,3.3848,3.87
,Sep,01,3.4420,4.04
,,04,3.2188,3.80
,,05,3.1402,3.80
,,06,3.1416,3.76
,,07,3.0466,3.63
,,08,2.9909,3.59
,,11,2.8235,3.33
,,12,2.9242,3.39
,,13,3.2358,3.68
,,14,3.2601,3.84
,,15,3.2823,3.80
,,18,3.2725,3.81
,,19,3.3322,3.86
,,20,3.4697,3.94
,,21,3.7770,4.19
,,22,3.7689,4.43
,,25,3.4923,4.05
,,26,3.3751,3.97
,,27,3.3119,3.88
,,28,3.2016,3.85
,,29,3.3503,3.86
,Oct,02,3.3489,3.91
,,03,3.3285,3.92
,,04,3.2053,3.79
,,05,2.9955,3.61
,,06,3.0744,3.62
,,09,3.1698,3.68
,,10,3.3841,3.88
,,11,3.5652,4.01
,,12,3.5408,4.12
,,13,3.4528,4.10
,,16,3.4762,4.02
,,17,3.5273,4.09
,,18,3.4805,4.11
,,19,3.4198,4.02
,,20,3.3196,3.97
,,23,3.2869,3.89
,,25,3.3504,3.90
,,26,3.4807,3.98
,,27,3.5917,4.13
,,30,3.6494,4.24
,,31,3.6644,4.26
,Nov,01,3.6065,4.29
,,02,3.5301,4.09
,,03,3.4505,4.12
,,06,3.3457,4.00
,,07,3.3321,3.91
,,08,3.3497,3.89
,,09,3.3157,3.90
,,10,3.2079,3.76
,,13,3.2173,3.81
,,14,3.1123,3.66
,,15,3.1386,3.64
,,16,3.2290,3.85
,,17,3.2532,3.79
,,20,3.1801,3.78
,,21,3.1766,3.73
,,22,3.1092,3.74
,,23,3.0742,3.72
,,24,3.1065,3.73
,,27,3.1236,3.73
,,28,3.1010,3.68
,,29,2.9784,3.59
,,30,3.0695,3.61
,Dec,01,3.0962,3.68
,,04,3.0266,3.59
,,05,3.0014,3.61
,,06,3.0439,3.62
,,07,3.1272,3.65
,,08,3.1634,3.78
,,11,3.1062,3.72
,,12,3.0906,3.72
,,13,3.0264,3.62
,,14,3.1896,3.78
,,15,3.3795,3.90
,,18,3.3356,3.89
,,19,3.1581,3.84
,,20,3.1150,3.73
,,21,3.1231,3.72
,,22,3.1202,3.73
,,26,3.1662,3.74
,,27,3.2509,3.79
,,28,3.3779,3.92
,,29,3.5841,4.47


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2007,Jan,03,3.0602,3.75
,,04,3.1760,3.77
,,05,3.1309,3.80
,,08,3.0796,3.72
,,09,3.0818,3.66
,,10,3.2241,3.76
,,11,3.2025,3.88
,,12,3.1777,3.82
,,15,3.1230,3.78
,,16,2.8919,3.68
,,17,2.8838,3.53
,,18,3.0431,3.69
,,19,2.9863,3.64
,,22,3.0306,3.59
,,23,3.0840,3.69
,,24,3.1118,3.72
,,25,3.1260,3.68
,,26,3.1520,3.75
,,29,3.2093,3.78
,,30,3.2779,3.81
,,31,3.2563,3.87
,Feb,01,3.2613,3.86
,,02,3.1032,3.74
,,05,3.0926,3.72
,,06,3.0627,3.66
,,07,3.1130,3.75
,,08,3.0988,3.68
,,09,3.1381,3.69
,,12,3.1577,3.74
,,13,3.1204,3.73
,,14,3.0267,3.63
,,15,3.1373,3.74
,,16,3.0490,3.67
,,21,3.0608,3.71
,,22,3.0435,3.72
,,23,3.0338,3.66
,,26,2.9069,3.61
,,27,2.6812,3.41
,,28,2.5499,3.12
,Mar,01,3.0194,3.62
,,02,2.9390,3.68
,,05,2.5913,3.10
,,06,2.2221,2.92
,,07,2.1052,2.75
,,08,2.1660,2.73
,,09,2.1599,2.78
,,12,1.9337,2.63
,,13,1.8311,2.49
,,14,1.7856,2.40
,,15,2.1592,2.64
,,16,2.9822,3.61
,,19,2.9073,3.58
,,20,2.8607,3.48
,,21,2.8037,3.40
,,22,2.7645,3.39
,,23,2.8836,3.45
,,26,2.7620,3.45
,,27,2.5527,3.35
,,28,2.1647,2.66
,,29,2.6342,3.21
,,30,2.8716,3.45
,Apr,02,2.6613,3.34
,,03,2.4997,3.21
,,04,2.5277,3.12
,,05,2.6139,3.18
,,09,2.5086,3.11
,,10,2.4436,3.11
,,11,2.3665,2.93
,,12,2.3591,2.94
,,13,2.3570,2.90
,,16,2.2662,2.85
,,17,1.9588,2.58
,,18,1.8341,2.43
,,19,1.9273,2.48
,,20,2.1414,2.67
,,23,2.3186,2.87
,,24,2.3961,2.95
,,25,2.4809,3.01
,,26,2.4171,3.05
,,27,2.4655,3.06
,,30,2.4424,2.98
,May,02,2.3597,2.93
,,03,2.4490,3.01
,,04,2.4855,3.04
,,07,2.4653,3.04
,,08,2.3795,3.03
,,09,2.3196,2.96
,,10,2.2705,2.93
,,11,2.2867,2.86
,,14,2.2681,2.85
,,15,2.0605,2.80
,,16,1.8918,2.52
,,17,1.7838,2.42
,,18,1.6780,2.19
,,21,1.7226,2.31
,,22,1.7402,2.29
,,23,2.1162,2.58
,,24,2.0583,2.66
,,25,2.0834,2.65
,,28,2.0469,2.63
,,29,2.0274,2.60
,,30,2.2641,2.81
,Jun,01,2.2550,2.87
,,04,2.1302,2.81
,,05,1.9952,2.71
,,06,1.9957,2.68
,,07,2.0840,2.64
,,08,2.1650,2.71
,,11,2.2162,2.72
,,12,2.2861,2.94
,,13,2.3197,2.94
,,14,2.3064,2.96
,,15,2.2924,2.89
,,18,2.1860,2.86
,,19,1.9854,2.69
,,20,2.1375,2.62
,,21,2.1806,2.81
,,22,2.2298,2.80
,,25,2.0947,2.61
,,26,2.1118,2.64
,,27,2.1446,2.66
,,28,2.1816,2.75
,,29,2.2101,2.83
,Jul,02,1.9793,2.61
,,03,2.0388,2.57
,,04,2.2126,2.84
,,05,2.3106,2.90
,,06,2.2938,2.90
,,09,2.1919,2.76
,,10,2.2572,2.73
,,11,2.2887,2.89
,,12,2.3078,2.89
,,13,2.3202,2.90
,,16,2.2559,2.86
,,17,2.2333,2.81
,,18,2.2501,2.85
,,19,2.2984,2.87
,,20,2.3288,2.89
,,23,2.2772,2.89
,,24,2.3005,2.89
,,25,2.2820,2.88
,,26,2.2846,2.89
,,27,2.2366,2.89
,,30,2.2900,2.87
,,31,2.3892,2.92
,Aug,01,2.3430,2.99
,,02,2.4408,3.10
,,03,2.3161,3.00
,,06,2.2727,2.88
,,07,2.2587,2.85
,,08,2.2758,2.85
,,10,2.5239,3.22
,,13,2.5215,3.14
,,14,2.3540,2.97
,,15,2.4013,3.09
,,16,2.6478,3.25
,,17,2.4979,3.14
,,20,2.3990,3.10
,,21,2.2458,2.93
,,22,2.0558,2.73
,,23,2.0633,2.64
,,24,2.1913,2.70
,,27,2.2027,2.85
,,28,2.2132,2.85
,,29,2.0090,2.80
,,30,2.1954,2.74
,,31,2.3876,3.01
,Sep,03,2.5674,3.20
,,04,2.2955,2.88
,,05,2.2346,2.78
,,06,2.3628,2.88
,,07,2.4212,3.00
,,10,2.2836,2.96
,,11,2.3023,2.98
,,12,1.9528,2.67
,,13,2.0626,2.64
,,14,2.0725,2.68
,,17,2.0897,2.69
,,18,2.1555,2.75
,,19,2.0894,2.62
,,20,2.0809,2.61
,,21,2.2276,2.76
,,24,2.1731,2.77
,,25,2.2302,2.85
,,26,2.1993,2.77
,,27,2.2586,2.86
,,28,2.2967,3.09
,Oct,01,2.0784,2.81
,,02,1.9983,2.61
,,03,1.9935,2.61
,,04,2.0695,2.66
,,05,2.0905,2.63
,,08,2.1358,2.76
,,09,2.1398,2.70
,,10,2.2250,2.82
,,11,2.1689,2.77
,,12,2.1844,2.77
,,15,2.2400,2.83
,,16,2.2879,2.84
,,17,2.4436,3.00
,,18,2.4975,3.13
,,19,2.5060,3.13
,,22,2.3792,3.04
,,23,2.2021,2.92
,,24,1.7575,2.52
,,25,1.9088,2.54
,,26,2.0793,2.58
,,29,2.1436,2.67
,,30,2.2479,2.88
,,31,2.2982,3.03
,Nov,01,2.2860,2.85
,,02,2.3473,3.07
,,05,2.0731,2.92
,,06,1.4509,2.48
,,07,0.7905,1.50
,,09,1.8077,2.44
,,12,2.0814,2.64
,,13,1.9575,2.71
,,14,1.7356,2.50
,,15,1.7334,2.40
,,16,1.5771,2.28
,,19,1.5731,2.27
,,20,1.5819,2.22
,,21,1.5935,2.16
,,22,1.7552,2.38
,,23,1.8728,2.53
,,26,1.6965,2.50
,,27,1.5520,2.28
,,28,1.2603,2.03
,,29,0.9954,1.50
,,30,1.0865,1.83
,Dec,03,0.8602,1.58
,,04,0.7354,1.37
,,05,0.4897,1.18
,,06,0.8280,1.24
,,07,0.9615,1.41
,,10,0.8909,1.48
,,11,0.9520,1.44
,,12,1.0255,1.48
,,13,1.2687,1.64
,,14,1.6055,2.46
,,17,1.5724,2.45
,,18,1.0468,1.98
,,19,0.4921,1.11
,,21,0.6928,1.26
,,24,0.6496,1.22
,,26,0.7008,1.38
,,27,0.6254,1.30
,,28,0.5745,1.32
,,31,0.9645,1.42


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2008,Jan,02,0.8657,1.46
,,03,0.8140,1.47
,,04,0.7057,1.34
,,07,0.7294,1.36
,,08,0.7957,1.36
,,09,0.9204,1.41
,,10,0.9312,1.55
,,11,1.1116,1.52
,,14,1.1637,1.70
,,15,1.2375,1.76
,,16,1.2927,1.81
,,17,1.2880,1.81
,,18,1.4327,1.93
,,21,1.4664,2.01
,,22,1.4885,2.06
,,23,1.2972,1.79
,,24,1.2768,1.85
,,25,1.3483,1.90
,,28,1.4672,2.07
,,29,1.7564,2.42
,,30,1.7635,2.40
,,31,1.7323,2.42
,Feb,01,1.7171,2.38
,,04,1.6172,2.41
,,05,1.5707,2.15
,,06,1.6027,2.16
,,11,1.3626,2.08
,,12,1.3920,2.00
,,13,1.1551,1.96
,,14,1.0279,1.75
,,15,1.0587,1.63
,,18,1.1498,1.69
,,19,1.1840,1.72
,,20,1.2501,1.82
,,21,1.2559,1.94
,,22,1.1869,1.94
,,25,1.1237,1.78
,,26,1.1086,1.78
,,27,0.9420,1.69
,,28,1.0481,1.64
,,29,1.0336,1.69
,Mar,03,1.0744,1.62
,,04,1.0544,1.80
,,05,1.0552,1.75
,,06,0.8746,1.58
,,07,0.5373,1.28
,,10,0.4024,0.96
,,11,0.3472,0.96
,,12,0.3520,0.89
,,13,0.3835,1.01
,,14,0.5110,1.08
,,17,0.7803,1.31
,,18,0.8703,1.63
,,19,0.8590,1.64
,,20,0.9725,1.76
,,24,1.0945,1.77
,,25,1.0277,1.80
,,26,0.7392,1.61
,,27,0.6225,1.29
,,28,0.6627,1.25
,,31,0.7061,1.42
,Apr,01,0.6056,1.44
,,02,0.6047,1.25
,,03,0.6181,1.22
,,04,0.7112,1.39
,,07,0.6728,1.37
,,08,0.6302,1.28
,,09,0.4056,1.09
,,10,0.5021,1.10
,,11,0.4952,1.11
,,14,0.4122,1.08
,,15,0.4143,1.17
,,16,0.4460,1.13
,,17,0.2264,0.87
,,18,0.1540,0.75
,,21,0.1904,0.87
,,22,0.1276,0.74
,,23,0.1307,0.66
,,24,0.4417,0.92
,,25,0.7280,1.21
,,28,1.0860,1.77
,,29,1.0206,1.84
,,30,1.0798,1.99
,May,02,0.8626,1.72
,,05,0.6572,1.27
,,06,0.5932,1.21
,,07,0.4912,1.13
,,08,0.6846,1.20
,,09,0.8261,1.36
,,12,0.8753,1.50
,,13,0.8211,1.61
,,14,0.7767,1.54
,,15,0.5135,1.18
,,16,0.4722,1.04
,,20,0.4439,1.03
,,21,0.3801,0.97
,,22,0.6010,1.08
,,23,0.7878,1.46
,,26,0.6851,1.43
,,27,0.6058,1.33
,,28,0.5243,1.23
,,29,0.5290,1.14
,,30,0.5313,1.15
,Jun,02,0.3371,1.01
,,03,0.2680,0.86
,,04,0.1972,0.74
,,05,0.3381,0.95
,,06,0.3196,1.00
,,09,0.3315,0.94
,,10,0.3521,0.94
,,11,0.3066,0.93
,,12,0.2918,0.94
,,13,0.2752,0.93
,,16,0.2204,0.85
,,17,0.0742,0.64
,,18,0.1418,0.60
,,19,0.2746,0.82
,,20,0.3261,0.87
,,23,0.3164,0.85
,,24,0.2386,0.87
,,25,0.2670,0.86
,,26,0.2858,0.85
,,27,0.5786,1.10
,,30,0.8171,1.82
,Jul,01,0.2725,0.85
,,02,0.2478,0.86
,,03,0.3679,0.88
,,04,0.4004,1.07
,,07,0.3468,0.87
,,08,0.3761,1.02
,,09,0.3649,0.94
,,10,0.4002,0.96
,,11,0.3830,0.98
,,14,0.3580,0.99
,,15,0.3472,0.93
,,16,0.2318,0.88
,,17,0.3071,0.87
,,18,0.3249,0.88
,,21,0.3319,0.84
,,22,0.4409,0.99
,,23,0.4862,1.08
,,24,0.4530,1.07
,,25,0.3632,0.98
,,28,0.2684,0.91
,,29,0.1940,0.79
,,30,0.1685,0.73
,,31,0.2504,0.84
,Aug,01,0.3207,0.89
,,04,0.3087,0.90
,,05,0.2910,0.84
,,06,0.3636,0.92
,,07,0.3943,0.92
,,08,0.5506,1.08
,,11,0.6606,1.27
,,12,0.7382,1.26
,,13,0.7432,1.35
,,14,0.7963,1.35
,,15,0.9880,1.60
,,18,0.7375,1.44
,,19,0.6466,1.20
,,20,0.5646,1.13
,,21,0.7244,1.25
,,22,0.6514,1.25
,,25,0.5736,1.19
,,26,0.5375,1.12
,,27,0.5917,1.14
,,28,0.6742,1.24
,,29,0.6691,1.38
,Sep,01,0.4899,1.12
,,02,0.5539,1.12
,,03,0.6430,1.17
,,04,0.7270,1.22
,,05,0.8072,1.34
,,08,0.8352,1.40
,,09,0.8359,1.38
,,10,0.8189,1.36
,,11,0.9448,1.42
,,12,0.9692,1.61
,,15,0.9845,1.72
,,16,1.2347,2.00
,,17,1.3194,2.12
,,18,1.5579,2.35
,,19,1.3843,2.23
,,22,1.4728,2.26
,,23,1.6190,2.27
,,24,1.5489,2.37
,,25,1.6931,2.32
,,26,1.6667,2.55
,,29,1.5851,2.46
,,30,1.5083,2.29
,Oct,02,1.1989,1.92
,,03,0.8084,1.61
,,06,0.8080,1.49
,,07,0.6113,1.39
,,08,0.7164,1.40
,,09,0.5360,1.25
,,10,0.4380,1.02
,,13,0.6004,1.19
,,14,0.7071,1.07
,,15,0.5932,1.10
,,16,0.4800,0.99
,,17,0.3759,0.83
,,20,0.3282,0.80
,,21,0.2123,0.75
,,22,0.1380,0.60
,,23,0.1492,0.65
,,24,0.3259,0.72
,,28,0.4502,0.88
,,29,0.8213,1.18
,,30,0.6458,1.30
,,31,0.4022,1.08
,Nov,03,0.2399,0.92
,,04,0.1109,0.65
,,05,0.0680,0.61
,,06,0.0777,0.60
,,07,0.1277,0.63
,,10,0.2361,0.65
,,11,0.5804,1.22
,,12,0.7267,1.35
,,13,0.8294,1.46
,,14,0.6968,1.44
,,17,0.4971,1.17
,,18,0.2854,1.04
,,19,0.3577,0.97
,,20,0.3964,1.01
,,21,0.4679,1.00
,,24,0.5600,1.05
,,25,0.5093,1.12
,,26,0.4815,1.11
,,27,0.4651,1.14
,,28,0.5566,1.14
,Dec,01,0.4617,1.13
,,02,0.4037,1.10
,,03,0.3532,1.04
,,04,0.4229,1.07
,,05,0.4872,1.06
,,09,0.4585,1.05
,,10,0.4026,1.08
,,11,0.2653,1.06
,,12,0.2662,0.94
,,15,0.2035,0.88
,,16,0.2368,0.86
,,17,0.2526,0.84
,,18,0.3071,0.89
,,19,0.4527,0.98
,,22,0.4959,1.02
,,23,0.4738,1.01
,,24,0.4497,1.06
,,26,0.3680,1.00
,,29,0.3878,1.06
,,30,0.2936,1.06
,,31,0.2586,0.94


End of Period / SORA Value Date,,,Singapore Overnight Rate Average,SF Borrowing Rate
2009,Jan,02,0.2423,0.88
,,05,0.2030,0.83
,,06,0.1203,0.66
,,07,0.0901,0.61
,,08,0.0686,0.62
,,09,0.0758,0.63
,,12,0.0890,0.66
,,13,0.0767,0.63
,,14,0.1084,0.65
,,15,0.1243,0.67
,,16,0.1187,0.69
,,19,0.0651,0.62
,,20,0.0395,0.57
,,21,0.0549,0.59
,,22,0.0597,0.59
,,23,0.1283,0.62
,,28,0.1288,0.64
,,29,0.1498,0.64
,,30,0.2209,0.76
,Feb,02,0.1263,0.69
,,03,0.1501,0.70
,,04,0.1152,0.71
,,05,0.1392,0.69
,,06,0.0867,0.68
,,09,0.1139,0.67
,,10,0.1053,0.65
,,11,0.0907,0.64
,,12,0.1196,0.64
,,13,0.1708,0.65
,,16,0.1969,0.68
,,17,0.2462,0.77
,,18,0.2306,0.83
,,19,0.2403,0.77
,,20,0.2607,0.79
,,23,0.2991,0.80
,,24,0.2540,0.81
,,25,0.1554,0.73
,,26,0.2122,0.80
,,27,0.2489,0.81
,Mar,02,0.2183,0.81
,,03,0.1953,0.80
,,04,0.1535,0.78
,,05,0.1488,0.75
,,06,0.1551,0.72
,,09,0.1044,0.68
,,10,0.0736,0.62
,,11,0.0896,0.61
,,12,0.1445,0.70
,,13,0.2789,0.75
,,16,0.4539,0.93
,,17,0.5870,1.16
,,18,0.6316,1.28
,,19,0.5986,1.22
,,20,0.3018,0.98
,,23,0.2437,0.91
,,24,0.2244,0.85
,,25,0.2901,0.83
,,26,0.4609,1.05
,,27,0.4927,1.05
,,30,0.3195,0.92
,,31,0.4516,1.06
,Apr,01,0.3179,0.97
,,02,0.1973,0.73
,,03,0.0820,0.65
,,06,0.0662,0.63
,,07,0.0436,0.61
,,08,0.0315,0.61
,,09,0.1158,0.63
,,13,0.1291,0.68
,,14,0.1862,0.70
,,15,0.3316,0.72
,,16,0.4716,1.48
,,17,0.1151,0.70
,,20,0.1060,0.68
,,21,0.0560,0.62
,,22,0.0401,0.60
,,23,0.0748,0.63
,,24,0.0720,0.66
,,27,0.0567,0.62
,,28,0.0420,0.61
,,29,0.0457,0.60
,,30,0.0507,0.60
,May,04,0.0693,0.62
,,05,0.0502,0.60
,,06,0.0514,0.59
,,07,0.0744,0.60
,,08,0.0813,0.63
,,11,0.0527,0.61
,,12,0.0622,0.60
,,13,0.0709,0.59
,,14,0.0708,0.61
,,15,0.0686,0.60
,,18,0.1142,0.60
,,19,0.1871,0.86
,,20,0.1207,0.69
,,21,0.2476,0.79
,,22,0.1490,0.79
,,25,0.0764,0.69
,,26,0.0570,0.61
,,27,0.0620,0.61
,,28,0.0500,0.61
,,29,0.0590,0.61
,Jun,01,0.0374,0.57
,,02,0.0364,0.56
,,03,0.1162,0.58
,,04,0.3605,0.76
,,05,0.4203,1.05
,,08,0.1642,0.73
,,09,0.1407,0.70
,,10,0.1445,0.71
,,11,0.0792,0.62
,,12,0.0522,0.61
,,15,0.0475,0.61
,,16,0.0694,0.59
,,17,0.0713,0.60
,,18,0.0858,0.62
,,19,0.0738,0.62
,,22,0.1346,0.65
,,23,0.1354,0.71
,,24,0.1665,0.73
,,25,0.1586,0.74
,,26,0.2420,0.76
,,29,0.4309,0.89
,,30,0.3021,1.02
,Jul,01,0.1215,0.65
,,02,0.0978,0.65
,,03,0.0904,0.66
,,06,0.1017,0.66
,,07,0.0920,0.66
,,08,0.0848,0.65
,,09,0.0869,0.64
,,10,0.0882,0.64
,,13,0.1020,0.66
,,14,0.0878,0.64
,,15,0.0883,0.66
,,16,0.0960,0.64
,,17,0.0949,0.66
,,20,0.1029,0.66
,,21,0.1059,0.66
,,22,0.0925,0.64
,,23,0.1067,0.65
,,24,0.1541,0.66
,,27,0.1747,0.71
,,28,0.2163,0.79
,,29,0.2266,0.75
,,30,0.2539,0.78
,,31,0.4356,0.93
,Aug,03,0.4897,1.02
,,04,0.4676,1.02
,,05,0.3679,0.99
,,06,0.3773,0.99
,,07,0.3467,0.97
,,11,0.3751,0.97
,,12,0.1673,0.72
,,13,0.1632,0.68
,,14,0.1749,0.72
,,17,0.1554,0.70
,,18,0.1609,0.71
,,19,0.1723,0.70
,,20,0.1571,0.68
,,21,0.1715,0.71
,,24,0.1912,0.74
,,25,0.1901,0.74
,,26,0.2060,0.75
,,27,0.2848,0.77
,,28,0.3371,0.87
,,31,0.4130,1.01
,Sep,01,0.2299,0.85
,,02,0.3005,0.85
,,03,0.3195,0.88
,,04,0.2571,0.85
,,07,0.1486,0.70
,,08,0.1710,0.71
,,09,0.0941,0.66
,,10,0.1364,0.65
,,11,0.1270,0.68
,,14,0.0782,0.65
,,15,0.1106,0.66
,,16,0.1293,0.68
,,17,0.1222,0.66
,,18,0.1616,0.68
,,22,0.2334,0.73
,,23,0.3493,0.91
,,24,0.3427,0.88
,,25,0.2956,0.88
,,28,0.2916,0.86
,,29,0.3232,0.89
,,30,0.3160,0.89
,Oct,01,0.3216,0.86
,,02,0.2514,0.86
,,05,0.1468,0.73
,,06,0.2197,0.67
,,07,0.4629,1.11
,,08,0.2612,0.90
,,09,0.3212,0.78
,,12,0.2949,0.91
,,13,0.2554,0.80
,,14,0.2593,0.81
,,15,0.2637,0.81
,,16,0.2796,0.80
